time,ghi_wm2,dni_wm2,dhi_wm2,poa_wm2,p_dc_kw,p_ac_kw
2022-01-13 00:00:00+05:30,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-13 00:40:00+05:30,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-13 01:20:00+05:30,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-13 02:00:00+05:30,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-13 02:40:00+05:30,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-13 03:20:00+05:30,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-13 04:00:00+05:30,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-13 04:40:00+05:30,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-13 05:20:00+05:30,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-13 06:00:00+05:30,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-13 06:40:00+05:30,5.990942769800941,41.041893017406124,4.240226874433418,9.755847435091628,0.019511694870183255,0.01599958979355027
2022-01-13 07:20:00+05:30,113.90097083536168,414.13187711568406,38.83177376142615,156.3861453955562,0.3127722907911124,0.25647327844871215
2022-01-13 08:00:00+05:30,258.6265107964532,633.3758018419246,60.688379194899966,329.902993958138,0.659805987916276,0.5410409100913462
2022-01-13 08:40:00+05:30,396.5219813914984,747.8487760362979,74.7786158981034,487.31142686099724,0.9746228537219945,0.7991907400520355
2022-01-13 09:20:00+05:30,516.4488947255588,813.5690018430673,84.79056950385387,621.3522422658368,1.2427044845316737,1.0190176773159725
2022-01-13 10:00:00+05:30,612.740973630184,853.0867515110741,91.9815621809172,727.8526125506926,1.4557052251013851,1.1936782845831357
2022-01-13 10:40:00+05:30,681.684933708551,876.3717727969115,96.81579324234667,803.6764057260035,1.607352811452007,1.3180293053906458
2022-01-13 11:20:00+05:30,720.8348650507387,888.1272621994267,99.46982095570786,846.6013192234864,1.6932026384469727,1.3884261635265176
2022-01-13 12:00:00+05:30,728.8504408973449,890.4186305029131,100.00607594105679,855.3666094470657,1.7107332188941313,1.4028012394931877
2022-01-13 12:40:00+05:30,705.45990525467,883.6250191946853,98.43460304759662,829.7137150385648,1.6594274300771297,1.3607304926632462
2022-01-13 13:20:00+05:30,651.4557747252517,866.5992603031058,94.72340015458792,770.3952749608907,1.5407905499217813,1.2634482509358607
2022-01-13 14:00:00+05:30,568.7105861714239,836.1694983119336,88.76619021931538,679.1502173376318,1.3583004346752636,1.1138063564337162
2022-01-13 14:40:00+05:30,460.2548235460309,785.5513691264047,80.27877934194612,558.6541209520362,1.1173082419040725,0.9161927583613394
2022-01-13 15:20:00+05:30,330.6028996472637,700.0438638724132,68.50998348261032,412.5088379807844,0.8250176759615688,0.6765144942884864
2022-01-13 16:00:00+05:30,187.224813455792,544.6271521103024,51.34573710554071,245.79159300939597,0.4915831860187919,0.40309821253540934
2022-01-13 16:40:00+05:30,49.68385052146805,237.40612233691354,22.76049695796729,72.73536727758318,0.14547073455516635,0.1192860023352364
2022-01-13 17:20:00+05:30,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-13 18:00:00+05:30,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-13 18:40:00+05:30,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-13 19:20:00+05:30,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-13 20:00:00+05:30,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-13 20:40:00+05:30,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-13 21:20:00+05:30,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-13 22:00:00+05:30,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-13 22:40:00+05:30,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-13 23:20:00+05:30,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-14 00:00:00+05:30,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-14 00:40:00+05:30,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-14 01:20:00+05:30,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-14 02:00:00+05:30,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-14 02:40:00+05:30,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-14 03:20:00+05:30,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-14 04:00:00+05:30,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-14 04:40:00+05:30,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-14 05:20:00+05:30,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-14 06:00:00+05:30,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-14 06:40:00+05:30,6.025519774655166,41.6306291154757,4.250179536215899,9.81628473652635,0.0196325694730527,0.016098706967903213
2022-01-14 07:20:00+05:30,114.35310967044767,416.5178685550539,38.75650700312082,156.8067784075024,0.3136135568150048,0.25716311658830393
2022-01-14 08:00:00+05:30,259.479930391542,635.6480669584568,60.51547137544699,330.60230114000456,0.6612046022800091,0.5421877738696075
2022-01-14 08:40:00+05:30,397.75737661090324,749.8664448481709,74.55663446647662,488.3237058905593,0.9766474117811187,0.8008508776605173
2022-01-14 09:20:00+05:30,518.0615976380601,815.4003194112204,84.54740621061165,622.7096114164686,1.2454192228329373,1.0212437627230084
2022-01-14 10:00:00+05:30,614.7247515064802,854.8053150693319,91.73331973330016,729.5715461212495,1.459143092242499,1.196497335638849
2022-01-14 10:40:00+05:30,684.0264025739617,878.0405797878549,96.57264825900143,805.7584178955276,1.6115168357910552,1.3214438053486652
2022-01-14 11:20:00+05:30,723.5114793260052,889.803606327925,99.23893081888696,849.0346009984066,1.6980692019968133,1.3924167456373868
2022-01-14 12:00:00+05:30,731.8298492547565,892.1615090030327,99.79326716569312,858.1276639279768,1.7162553278559536,1.4073293688418818
2022-01-14 12:40:00+05:30,708.6998552626277,885.5042348870056,98.24570247352483,832.7691148614356,1.6655382297228711,1.3657413483727543
2022-01-14 13:20:00+05:30,654.9040273788612,868.7090545353014,94.56578077090876,773.7037105637936,1.5474074211275872,1.2688740853246214
